"method","fit_type","seed","survey_degf","refit_residual_df","refit_coef_rows","retained_effect_rows","nonzero_positive_coef","nonzero_negative_coef","nonzero_positive_weights","nonzero_negative_weights","positive_weight_sum","negative_weight_sum","lambda_path_source","lambda_path_length","lambda_path_min","lambda_path_max","selected_lambda","selected_lambda_at_path_boundary","backend_jerr","backend_warnings","retained_terms","note"
"SGL-WQS (survey, lambda=0)","survey",123,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",123,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",256,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",256,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.96841944728661e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",256,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",256,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",314,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",314,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,5.08021804691301e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",314,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",314,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",500,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",500,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.14504756993828e-07,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",500,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",500,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",617,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",617,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-07,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",617,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",617,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,4.43668733097861e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",789,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",789,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,5.08021804691302e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",789,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",789,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",888,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",888,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342824e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",888,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",888,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",999,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",999,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,9.99999999999999e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",999,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",999,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1001,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1001,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.96841944728661e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1001,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1001,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1123,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1123,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.31113393742156e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1123,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1123,25,7,19,7,9,6,9,6,4,4,"user_explicit",120,9.99999999999998e-09,0.1,5.08021804691301e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1234,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1234,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.14504756993828e-07,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1234,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1234,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1357,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1357,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.25393390473479e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1357,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1357,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1500,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1500,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1500,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1500,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1618,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1618,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,7.62698585902345e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1618,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",1618,25,7,19,7,9,6,9,6,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.58086154041808e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",1729,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",1729,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.71907220185858e-05,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",1729,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
