"method","seed","variable","group","direction","weight"
"SGL-WQS (unweighted, lambda=0)",71,"URXPHG","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URXDHB","Dienes/alkenes/epoxides","Positive",1
"SGL-WQS (unweighted, lambda=0)",71,"URXMB3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URXIPM3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URXHP2","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URXAAM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URXAMC","Nitrile/amide/cyanide-related","Positive",0.223037130516231
"SGL-WQS (unweighted, lambda=0)",71,"URXCEM","Nitrile/amide/cyanide-related","Positive",0.414578524444486
"SGL-WQS (unweighted, lambda=0)",71,"URXCYM","Nitrile/amide/cyanide-related","Positive",0.184841079380263
"SGL-WQS (unweighted, lambda=0)",71,"URXATC","Nitrile/amide/cyanide-related","Positive",0.17754326565902
"SGL-WQS (unweighted, lambda=0)",71,"URXHPM","Reactive aldehydes","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URXPMM","Reactive aldehydes","Positive",1
"SGL-WQS (unweighted, lambda=0)",71,"URX2MH","Aromatic hydrocarbons","Negative",0.0361821135555519
"SGL-WQS (unweighted, lambda=0)",71,"URX34M","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXBMA","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXMAD","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXPHG","Aromatic hydrocarbons","Negative",0.963817886444448
"SGL-WQS (unweighted, lambda=0)",71,"URXDHB","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXMB3","Dienes/alkenes/epoxides","Negative",0.408805544906797
"SGL-WQS (unweighted, lambda=0)",71,"URXIPM3","Dienes/alkenes/epoxides","Negative",0.150656460415138
"SGL-WQS (unweighted, lambda=0)",71,"URXHP2","Dienes/alkenes/epoxides","Negative",0.440537994678065
"SGL-WQS (unweighted, lambda=0)",71,"URXAAM","Nitrile/amide/cyanide-related","Negative",1
"SGL-WQS (unweighted, lambda=0)",71,"URXAMC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXCEM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXCYM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXATC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",71,"URXHPM","Reactive aldehydes","Negative",1
"SGL-WQS (unweighted, lambda=0)",71,"URXPMM","Reactive aldehydes","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URX2MH","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URX34M","Aromatic hydrocarbons","Positive",0.0347333124329493
"SGL-WQS (unweighted, lambda.min path)",71,"URXBMA","Aromatic hydrocarbons","Positive",0.437616500235783
"SGL-WQS (unweighted, lambda.min path)",71,"URXMAD","Aromatic hydrocarbons","Positive",0.527650187331268
"SGL-WQS (unweighted, lambda.min path)",71,"URXPHG","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXDHB","Dienes/alkenes/epoxides","Positive",1
"SGL-WQS (unweighted, lambda.min path)",71,"URXMB3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXIPM3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXHP2","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXAAM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXAMC","Nitrile/amide/cyanide-related","Positive",0.230534158668278
"SGL-WQS (unweighted, lambda.min path)",71,"URXCEM","Nitrile/amide/cyanide-related","Positive",0.421098253534386
"SGL-WQS (unweighted, lambda.min path)",71,"URXCYM","Nitrile/amide/cyanide-related","Positive",0.162711814322194
"SGL-WQS (unweighted, lambda.min path)",71,"URXATC","Nitrile/amide/cyanide-related","Positive",0.185655773475142
"SGL-WQS (unweighted, lambda.min path)",71,"URXHPM","Reactive aldehydes","Positive",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXPMM","Reactive aldehydes","Positive",1
"SGL-WQS (unweighted, lambda.min path)",71,"URX2MH","Aromatic hydrocarbons","Negative",0.0368039510091454
"SGL-WQS (unweighted, lambda.min path)",71,"URX34M","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXBMA","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXMAD","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXPHG","Aromatic hydrocarbons","Negative",0.963196048990855
"SGL-WQS (unweighted, lambda.min path)",71,"URXDHB","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXMB3","Dienes/alkenes/epoxides","Negative",0.386269358797892
"SGL-WQS (unweighted, lambda.min path)",71,"URXIPM3","Dienes/alkenes/epoxides","Negative",0.134736247425325
"SGL-WQS (unweighted, lambda.min path)",71,"URXHP2","Dienes/alkenes/epoxides","Negative",0.478994393776782
"SGL-WQS (unweighted, lambda.min path)",71,"URXAAM","Nitrile/amide/cyanide-related","Negative",1
"SGL-WQS (unweighted, lambda.min path)",71,"URXAMC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXCEM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXCYM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXATC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",71,"URXHPM","Reactive aldehydes","Negative",1
"SGL-WQS (unweighted, lambda.min path)",71,"URXPMM","Reactive aldehydes","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URX2MH","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URX34M","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXBMA","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXMAD","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXPHG","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXDHB","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXMB3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXIPM3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXHP2","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXAAM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXAMC","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXCEM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXCYM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXATC","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXHPM","Reactive aldehydes","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URXPMM","Reactive aldehydes","Positive",0
"SGL-WQS (survey, lambda=0)",71,"URX2MH","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URX34M","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXBMA","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXMAD","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXPHG","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXDHB","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXMB3","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXIPM3","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXHP2","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXAAM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXAMC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXCEM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXCYM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXATC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXHPM","Reactive aldehydes","Negative",0
"SGL-WQS (survey, lambda=0)",71,"URXPMM","Reactive aldehydes","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URX2MH","Aromatic hydrocarbons","Positive",0.0616772778200268
"SGL-WQS (survey, lambda.min path)",71,"URX34M","Aromatic hydrocarbons","Positive",0.382727897201116
"SGL-WQS (survey, lambda.min path)",71,"URXBMA","Aromatic hydrocarbons","Positive",0.17741796849556
"SGL-WQS (survey, lambda.min path)",71,"URXMAD","Aromatic hydrocarbons","Positive",0.378176856483297
"SGL-WQS (survey, lambda.min path)",71,"URXPHG","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXDHB","Dienes/alkenes/epoxides","Positive",1
"SGL-WQS (survey, lambda.min path)",71,"URXMB3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXIPM3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXHP2","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXAAM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXAMC","Nitrile/amide/cyanide-related","Positive",0.0236627704421065
"SGL-WQS (survey, lambda.min path)",71,"URXCEM","Nitrile/amide/cyanide-related","Positive",0.67658915928086
"SGL-WQS (survey, lambda.min path)",71,"URXCYM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXATC","Nitrile/amide/cyanide-related","Positive",0.299748070277034
"SGL-WQS (survey, lambda.min path)",71,"URXHPM","Reactive aldehydes","Positive",0
"SGL-WQS (survey, lambda.min path)",71,"URXPMM","Reactive aldehydes","Positive",1
"SGL-WQS (survey, lambda.min path)",71,"URX2MH","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URX34M","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXBMA","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXMAD","Aromatic hydrocarbons","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXPHG","Aromatic hydrocarbons","Negative",1
"SGL-WQS (survey, lambda.min path)",71,"URXDHB","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXMB3","Dienes/alkenes/epoxides","Negative",0.462214995235149
"SGL-WQS (survey, lambda.min path)",71,"URXIPM3","Dienes/alkenes/epoxides","Negative",0.00762982608094297
"SGL-WQS (survey, lambda.min path)",71,"URXHP2","Dienes/alkenes/epoxides","Negative",0.530155178683908
"SGL-WQS (survey, lambda.min path)",71,"URXAAM","Nitrile/amide/cyanide-related","Negative",0.974489294595593
"SGL-WQS (survey, lambda.min path)",71,"URXAMC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXCEM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXCYM","Nitrile/amide/cyanide-related","Negative",0.0255107054044067
"SGL-WQS (survey, lambda.min path)",71,"URXATC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (survey, lambda.min path)",71,"URXHPM","Reactive aldehydes","Negative",1
"SGL-WQS (survey, lambda.min path)",71,"URXPMM","Reactive aldehydes","Negative",0
"gWQS",42,"URXPMM",NA,"Positive",0.275273592440129
"gWQS",42,"URXMAD",NA,"Positive",0.16357052848776
"gWQS",42,"URXCEM",NA,"Positive",0.148628183922223
"gWQS",42,"URXCYM",NA,"Positive",0.0980816112332943
"gWQS",42,"URXBMA",NA,"Positive",0.0682324565931646
"gWQS",42,"URXAMC",NA,"Positive",0.0644214442140403
"gWQS",42,"URXDHB",NA,"Positive",0.0568135074929831
"gWQS",42,"URXATC",NA,"Positive",0.0505022279009182
"gWQS",42,"URX2MH",NA,"Positive",0.022889381290198
"gWQS",42,"URX34M",NA,"Positive",0.0207073674576999
"gWQS",42,"URXIPM3",NA,"Positive",0.0108898197104871
"gWQS",42,"URXAAM",NA,"Positive",0.00509699337557615
"gWQS",42,"URXMB3",NA,"Positive",0.00400042879521023
"gWQS",42,"URXHP2",NA,"Positive",0.00396176352062245
"gWQS",42,"URXPHG",NA,"Positive",0.00369218493795874
"gWQS",42,"URXHPM",NA,"Positive",0.00323850862773467
"gWQS",42,"URXPMM",NA,"Negative",0.00363302881210876
"gWQS",42,"URXMAD",NA,"Negative",0.00385244672888781
"gWQS",42,"URXCEM",NA,"Negative",0.00347903410395948
"gWQS",42,"URXCYM",NA,"Negative",0.002672331795649
"gWQS",42,"URXBMA",NA,"Negative",0.0045279455117939
"gWQS",42,"URXAMC",NA,"Negative",0.00536775650539473
"gWQS",42,"URXDHB",NA,"Negative",0.011698842528268
"gWQS",42,"URXATC",NA,"Negative",0.00759207413935969
"gWQS",42,"URX2MH",NA,"Negative",0.0380128126942611
"gWQS",42,"URX34M",NA,"Negative",0.0552304117431929
"gWQS",42,"URXIPM3",NA,"Negative",0.0684295278286788
"gWQS",42,"URXAAM",NA,"Negative",0.116049352154914
"gWQS",42,"URXMB3",NA,"Negative",0.160985772195551
"gWQS",42,"URXHP2",NA,"Negative",0.0634173103601884
"gWQS",42,"URXPHG",NA,"Negative",0.202947108028176
"gWQS",42,"URXHPM",NA,"Negative",0.252104244869616
"groupWQS",42,"URX2MH","Aromatic hydrocarbons","Combined",0.123848352683115
"groupWQS",42,"URX34M","Aromatic hydrocarbons","Combined",0.159767987331272
"groupWQS",42,"URXBMA","Aromatic hydrocarbons","Combined",0.165369055872839
"groupWQS",42,"URXMAD","Aromatic hydrocarbons","Combined",0.122519590472882
"groupWQS",42,"URXPHG","Aromatic hydrocarbons","Combined",0.428495013639699
"groupWQS",42,"URXDHB","Dienes/alkenes/epoxides","Combined",0.0879279375473746
"groupWQS",42,"URXMB3","Dienes/alkenes/epoxides","Combined",0.410584198411745
"groupWQS",42,"URXIPM3","Dienes/alkenes/epoxides","Combined",0.115463939941727
"groupWQS",42,"URXHP2","Dienes/alkenes/epoxides","Combined",0.386023924098412
"groupWQS",42,"URXAAM","Nitrile/amide/cyanide-related","Combined",0.00577563220220972
"groupWQS",42,"URXAMC","Nitrile/amide/cyanide-related","Combined",0.235349436237568
"groupWQS",42,"URXCEM","Nitrile/amide/cyanide-related","Combined",0.378870946085426
"groupWQS",42,"URXCYM","Nitrile/amide/cyanide-related","Combined",0.159279927310253
"groupWQS",42,"URXATC","Nitrile/amide/cyanide-related","Combined",0.220724058164598
"groupWQS",42,"URXHPM","Reactive aldehydes","Combined",0.103685176392691
"groupWQS",42,"URXPMM","Reactive aldehydes","Combined",0.896314823607293
"SGL-WQS (unweighted, lambda=0)",42,"URX2MH","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URX34M","Aromatic hydrocarbons","Positive",0.0622608490944023
"SGL-WQS (unweighted, lambda=0)",42,"URXBMA","Aromatic hydrocarbons","Positive",0.39841536580077
"SGL-WQS (unweighted, lambda=0)",42,"URXMAD","Aromatic hydrocarbons","Positive",0.539323785104828
"SGL-WQS (unweighted, lambda=0)",42,"URXPHG","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URXDHB","Dienes/alkenes/epoxides","Positive",1
"SGL-WQS (unweighted, lambda=0)",42,"URXMB3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URXIPM3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URXHP2","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URXAAM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URXAMC","Nitrile/amide/cyanide-related","Positive",0.223037130516231
"SGL-WQS (unweighted, lambda=0)",42,"URXCEM","Nitrile/amide/cyanide-related","Positive",0.414578524444486
"SGL-WQS (unweighted, lambda=0)",42,"URXCYM","Nitrile/amide/cyanide-related","Positive",0.184841079380263
"SGL-WQS (unweighted, lambda=0)",42,"URXATC","Nitrile/amide/cyanide-related","Positive",0.17754326565902
"SGL-WQS (unweighted, lambda=0)",42,"URXHPM","Reactive aldehydes","Positive",0
"SGL-WQS (unweighted, lambda=0)",42,"URXPMM","Reactive aldehydes","Positive",1
"SGL-WQS (unweighted, lambda=0)",42,"URX2MH","Aromatic hydrocarbons","Negative",0.0361821135555519
"SGL-WQS (unweighted, lambda=0)",42,"URX34M","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXBMA","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXMAD","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXPHG","Aromatic hydrocarbons","Negative",0.963817886444448
"SGL-WQS (unweighted, lambda=0)",42,"URXDHB","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXMB3","Dienes/alkenes/epoxides","Negative",0.408805544906797
"SGL-WQS (unweighted, lambda=0)",42,"URXIPM3","Dienes/alkenes/epoxides","Negative",0.150656460415138
"SGL-WQS (unweighted, lambda=0)",42,"URXHP2","Dienes/alkenes/epoxides","Negative",0.440537994678065
"SGL-WQS (unweighted, lambda=0)",42,"URXAAM","Nitrile/amide/cyanide-related","Negative",1
"SGL-WQS (unweighted, lambda=0)",42,"URXAMC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXCEM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXCYM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXATC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda=0)",42,"URXHPM","Reactive aldehydes","Negative",1
"SGL-WQS (unweighted, lambda=0)",42,"URXPMM","Reactive aldehydes","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URX2MH","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URX34M","Aromatic hydrocarbons","Positive",0.0212941622309809
"SGL-WQS (unweighted, lambda.min path)",42,"URXBMA","Aromatic hydrocarbons","Positive",0.470811032191432
"SGL-WQS (unweighted, lambda.min path)",42,"URXMAD","Aromatic hydrocarbons","Positive",0.507894805577587
"SGL-WQS (unweighted, lambda.min path)",42,"URXPHG","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXDHB","Dienes/alkenes/epoxides","Positive",1
"SGL-WQS (unweighted, lambda.min path)",42,"URXMB3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXIPM3","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXHP2","Dienes/alkenes/epoxides","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXAAM","Nitrile/amide/cyanide-related","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXAMC","Nitrile/amide/cyanide-related","Positive",0.232820372568055
"SGL-WQS (unweighted, lambda.min path)",42,"URXCEM","Nitrile/amide/cyanide-related","Positive",0.41983535520798
"SGL-WQS (unweighted, lambda.min path)",42,"URXCYM","Nitrile/amide/cyanide-related","Positive",0.15943199744391
"SGL-WQS (unweighted, lambda.min path)",42,"URXATC","Nitrile/amide/cyanide-related","Positive",0.187912274780054
"SGL-WQS (unweighted, lambda.min path)",42,"URXHPM","Reactive aldehydes","Positive",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXPMM","Reactive aldehydes","Positive",1
"SGL-WQS (unweighted, lambda.min path)",42,"URX2MH","Aromatic hydrocarbons","Negative",0.0357758403639979
"SGL-WQS (unweighted, lambda.min path)",42,"URX34M","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXBMA","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXMAD","Aromatic hydrocarbons","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXPHG","Aromatic hydrocarbons","Negative",0.964224159636002
"SGL-WQS (unweighted, lambda.min path)",42,"URXDHB","Dienes/alkenes/epoxides","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXMB3","Dienes/alkenes/epoxides","Negative",0.380302643226455
"SGL-WQS (unweighted, lambda.min path)",42,"URXIPM3","Dienes/alkenes/epoxides","Negative",0.129012747668015
"SGL-WQS (unweighted, lambda.min path)",42,"URXHP2","Dienes/alkenes/epoxides","Negative",0.49068460910553
"SGL-WQS (unweighted, lambda.min path)",42,"URXAAM","Nitrile/amide/cyanide-related","Negative",1
"SGL-WQS (unweighted, lambda.min path)",42,"URXAMC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXCEM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXCYM","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXATC","Nitrile/amide/cyanide-related","Negative",0
"SGL-WQS (unweighted, lambda.min path)",42,"URXHPM","Reactive aldehydes","Negative",1
"SGL-WQS (unweighted, lambda.min path)",42,"URXPMM","Reactive aldehydes","Negative",0
"SGL-WQS (survey, lambda=0)",42,"URX2MH","Aromatic hydrocarbons","Positive",0
"SGL-WQS (survey, lambda=0)",42,"URX34M","Aromatic hydrocarbons","Positive",0
