"method","seed","term","group","direction","estimate","std_error","p_value"
"SGL-WQS (unweighted, lambda=0)",42,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.065239425892528,0.0261246118499283,0.0125935493530599
"SGL-WQS (unweighted, lambda=0)",42,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100495925217755,0.0250573059598072,6.2702683168774e-05
"SGL-WQS (unweighted, lambda=0)",42,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152499830773159,0.032974506827608,3.98155317372046e-06
"SGL-WQS (unweighted, lambda=0)",42,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430806801604577,0.0214346920559355,0.0445757933032246
"SGL-WQS (unweighted, lambda=0)",42,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0445682640978355,0.0254779158175302,0.0803890923675073
"SGL-WQS (unweighted, lambda.min path)",42,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.058573424008825,0.026879290723051,0.0294345489682036
"SGL-WQS (unweighted, lambda.min path)",42,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0495184005950961,0.0277650717134265,0.0746549611650118
"SGL-WQS (unweighted, lambda.min path)",42,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.202716724843643,0.0380412899222853,1.09577889874952e-07
"SGL-WQS (unweighted, lambda.min path)",42,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.062151524426444,0.0257749724388052,0.0159817833446854
"SGL-WQS (unweighted, lambda.min path)",42,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.0972756449243614,0.0247201537437466,8.59151958060006e-05
"SGL-WQS (unweighted, lambda.min path)",42,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.144326212563266,0.0315954137955881,5.21495255313095e-06
"SGL-WQS (unweighted, lambda.min path)",42,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0424789431573438,0.0214292490875586,0.0475790537862996
"SGL-WQS (unweighted, lambda.min path)",42,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0442463342075547,0.0254369494160948,0.0821040577731534
"SGL-WQS (survey, lambda.min path)",42,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0710474690950158,0.044760237013899,0.156468901576321
"SGL-WQS (survey, lambda.min path)",42,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0708146510856851,0.0336813056438985,0.0735999553312354
"SGL-WQS (survey, lambda.min path)",42,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.170797968833926,0.0432130141308916,0.00551457344316381
"SGL-WQS (survey, lambda.min path)",42,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0751913788042394,0.0286045901159343,0.0339793467765964
"SGL-WQS (survey, lambda.min path)",42,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.11552760595841,0.0331917891096718,0.0102578396073976
"SGL-WQS (survey, lambda.min path)",42,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.178773059966551,0.032695866923091,0.000938095497449804
"SGL-WQS (survey, lambda.min path)",42,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.06516484801346,0.0267330517067787,0.0449159394016303
"gWQS",123,"pwqs","Overall mixture","Positive",0.210613793123852,0.0835652694870877,0.0119080567939145
"gWQS",123,"nwqs","Overall mixture","Negative",-0.261973212929095,0.0794038417889684,0.00101023886830125
"groupWQS",123,"GWQS1","Aromatic hydrocarbons","Combined",-0.0417589805901757,0.0510186109941789,0.413306766499465
"groupWQS",123,"GWQS2","Dienes/alkenes/epoxides","Combined",-0.220732927141561,0.0550662900529104,6.66749270131357e-05
"groupWQS",123,"GWQS3","Nitrile/amide/cyanide-related","Combined",0.239991699225439,0.0626341116961435,0.000137013729839114
"groupWQS",123,"GWQS4","Reactive aldehydes","Combined",-0.0116525136314721,0.0501674214911244,0.816384307510008
"SGL-WQS (unweighted, lambda=0)",123,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637222423744336,0.0289664414565545,0.0279266820155842
"SGL-WQS (unweighted, lambda=0)",123,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0505287198551155,0.0277881372642165,0.0691542341309376
"SGL-WQS (unweighted, lambda=0)",123,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206160106822262,0.0386033384153154,1.02874290379591e-07
"SGL-WQS (unweighted, lambda=0)",123,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.065239425892528,0.0261246118499283,0.0125935493530599
"SGL-WQS (unweighted, lambda=0)",123,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100495925217755,0.0250573059598072,6.2702683168774e-05
"SGL-WQS (unweighted, lambda=0)",123,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152499830773159,0.032974506827608,3.98155317372046e-06
"SGL-WQS (unweighted, lambda=0)",123,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430806801604577,0.0214346920559355,0.0445757933032246
"SGL-WQS (unweighted, lambda=0)",123,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0445682640978355,0.0254779158175302,0.0803890923675073
"SGL-WQS (unweighted, lambda.min path)",123,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0605779347143016,0.0276606256739366,0.0286324151392735
"SGL-WQS (unweighted, lambda.min path)",123,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0495452390906895,0.027776061970799,0.0746125766403257
"SGL-WQS (unweighted, lambda.min path)",123,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.203082189053132,0.0380916795617962,1.08073516850649e-07
"SGL-WQS (unweighted, lambda.min path)",123,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.062680826148101,0.02585048107637,0.0154042265014567
"SGL-WQS (unweighted, lambda.min path)",123,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.0984321967874933,0.0248658972594184,7.79607208689549e-05
"SGL-WQS (unweighted, lambda.min path)",123,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.146107183300058,0.0318911446939195,4.89280217444426e-06
"SGL-WQS (unweighted, lambda.min path)",123,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0425045029342853,0.021429268043742,0.0474458824207525
"SGL-WQS (unweighted, lambda.min path)",123,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0444195098349898,0.025452338204632,0.0810978342480242
"SGL-WQS (survey, lambda.min path)",123,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0692529529255589,0.0461985107589419,0.177543595094598
"SGL-WQS (survey, lambda.min path)",123,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0702164516136599,0.0335940259626459,0.0749537596833152
"SGL-WQS (survey, lambda.min path)",123,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.170239288023872,0.0432020991238142,0.00559951803963106
"SGL-WQS (survey, lambda.min path)",123,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0727423390731086,0.0287016312147354,0.0389797219733802
"SGL-WQS (survey, lambda.min path)",123,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.114370527198046,0.0329742854701771,0.0104273417714745
"SGL-WQS (survey, lambda.min path)",123,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.17274655683651,0.032700712069518,0.00114474256759436
"SGL-WQS (survey, lambda.min path)",123,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0672659259312194,0.0279873049986559,0.0472265821141823
"gWQS",256,"pwqs","Overall mixture","Positive",0.344208483803549,0.100242608151487,0.00062346817595694
"gWQS",256,"nwqs","Overall mixture","Negative",-0.28117244704615,0.0929450612073078,0.00255837669079597
"groupWQS",256,"GWQS1","Aromatic hydrocarbons","Combined",0.00133735025326172,0.0461575151413489,0.976892680752455
"groupWQS",256,"GWQS2","Dienes/alkenes/epoxides","Combined",-0.175215331246773,0.0532749099864333,0.00104870766075712
"groupWQS",256,"GWQS3","Nitrile/amide/cyanide-related","Combined",0.22987992028161,0.0546985181170625,2.9275619846254e-05
"groupWQS",256,"GWQS4","Reactive aldehydes","Combined",0.0579058593242296,0.0450428538472673,0.198955197200144
"SGL-WQS (unweighted, lambda=0)",256,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637222423744336,0.0289664414565545,0.0279266820155842
"SGL-WQS (unweighted, lambda=0)",256,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0505287198551155,0.0277881372642165,0.0691542341309376
"SGL-WQS (unweighted, lambda=0)",256,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206160106822262,0.0386033384153154,1.02874290379591e-07
"SGL-WQS (unweighted, lambda=0)",256,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.065239425892528,0.0261246118499283,0.0125935493530599
"SGL-WQS (unweighted, lambda=0)",256,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100495925217755,0.0250573059598072,6.2702683168774e-05
"SGL-WQS (unweighted, lambda=0)",256,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152499830773159,0.032974506827608,3.98155317372046e-06
"SGL-WQS (unweighted, lambda=0)",256,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430806801604577,0.0214346920559355,0.0445757933032246
"SGL-WQS (unweighted, lambda=0)",256,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0445682640978355,0.0254779158175302,0.0803890923675073
"SGL-WQS (unweighted, lambda.min path)",256,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0587895928958014,0.026961253758389,0.0293310910872356
"SGL-WQS (unweighted, lambda.min path)",256,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0495118714391248,0.0277664031154028,0.0747071476025112
"SGL-WQS (unweighted, lambda.min path)",256,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.202736318226501,0.0380429382123603,1.09408928749102e-07
"SGL-WQS (unweighted, lambda.min path)",256,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0622022413771611,0.0257821803224658,0.0159253694873475
"SGL-WQS (unweighted, lambda.min path)",256,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.097410404700326,0.0247388658118892,8.50421174503117e-05
"SGL-WQS (unweighted, lambda.min path)",256,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.144492200644232,0.0316233743007524,5.18523704883891e-06
"SGL-WQS (unweighted, lambda.min path)",256,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0424761800397349,0.0214292027498426,0.0475930102766421
"SGL-WQS (unweighted, lambda.min path)",256,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0442658631848762,0.0254385993026007,0.0819889935120238
"SGL-WQS (survey, lambda.min path)",256,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.07027680415953,0.0454508762119686,0.165972809030515
"SGL-WQS (survey, lambda.min path)",256,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0705446816155162,0.0336439748183877,0.0742210796551845
"SGL-WQS (survey, lambda.min path)",256,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.170555536941386,0.0432072020043439,0.00555055596250636
"SGL-WQS (survey, lambda.min path)",256,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0740767562334228,0.0286530298611588,0.0361915884506879
"SGL-WQS (survey, lambda.min path)",256,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.114998796713884,0.0330929049199542,0.0103354193259645
"SGL-WQS (survey, lambda.min path)",256,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.176061742776812,0.0327156034407897,0.00102861915828132
"SGL-WQS (survey, lambda.min path)",256,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0661478225950416,0.0273252752858501,0.0460410475770136
"gWQS",314,"pwqs","Overall mixture","Positive",0.348897556145329,0.088371309847057,8.51424262689051e-05
"gWQS",314,"nwqs","Overall mixture","Negative",-0.331047415463893,0.085540035729495,0.000116928070950768
"groupWQS",314,"GWQS1","Aromatic hydrocarbons","Combined",-0.0680506736895329,0.046439992135236,0.143209756568522
"groupWQS",314,"GWQS2","Dienes/alkenes/epoxides","Combined",-0.0643462170266718,0.040370694393301,0.11134729538896
"groupWQS",314,"GWQS3","Nitrile/amide/cyanide-related","Combined",0.106724027765478,0.0529688404316118,0.0442468024066928
"groupWQS",314,"GWQS4","Reactive aldehydes","Combined",0.0257593570536036,0.0436470072319216,0.555236164892735
"SGL-WQS (unweighted, lambda=0)",314,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637222423744336,0.0289664414565545,0.0279266820155842
"SGL-WQS (unweighted, lambda=0)",314,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0505287198551155,0.0277881372642165,0.0691542341309376
"SGL-WQS (unweighted, lambda=0)",314,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206160106822262,0.0386033384153154,1.02874290379591e-07
"SGL-WQS (unweighted, lambda=0)",314,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.065239425892528,0.0261246118499283,0.0125935493530599
"SGL-WQS (unweighted, lambda=0)",314,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100495925217755,0.0250573059598072,6.2702683168774e-05
"SGL-WQS (unweighted, lambda=0)",314,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152499830773159,0.032974506827608,3.98155317372046e-06
"SGL-WQS (unweighted, lambda=0)",314,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430806801604577,0.0214346920559355,0.0445757933032246
"SGL-WQS (unweighted, lambda=0)",314,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0445682640978355,0.0254779158175302,0.0803890923675073
"SGL-WQS (unweighted, lambda.min path)",314,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637462886507905,0.0289756223880316,0.0279172403405313
"SGL-WQS (unweighted, lambda.min path)",314,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.050524911227461,0.0277883488843735,0.0691772963112781
"SGL-WQS (unweighted, lambda.min path)",314,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206151909425065,0.0386018663272361,1.02879159255479e-07
"SGL-WQS (unweighted, lambda.min path)",314,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0652569169535444,0.026126228832302,0.012575328824964
"SGL-WQS (unweighted, lambda.min path)",314,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100509108538247,0.0250599515125703,6.26756311323546e-05
"SGL-WQS (unweighted, lambda.min path)",314,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152525659674172,0.0329797377797278,3.98060968004775e-06
"SGL-WQS (unweighted, lambda.min path)",314,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430801017451676,0.0214346455052128,0.0445781902153595
"SGL-WQS (unweighted, lambda.min path)",314,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.044577939706803,0.0254785574554168,0.080331094789221
"SGL-WQS (survey, lambda.min path)",314,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0710474690950158,0.044760237013899,0.156468901576321
"SGL-WQS (survey, lambda.min path)",314,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0708146510856851,0.0336813056438985,0.0735999553312354
"SGL-WQS (survey, lambda.min path)",314,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.170797968833926,0.0432130141308916,0.00551457344316381
"SGL-WQS (survey, lambda.min path)",314,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0751913788042394,0.0286045901159343,0.0339793467765964
"SGL-WQS (survey, lambda.min path)",314,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.11552760595841,0.0331917891096718,0.0102578396073976
"SGL-WQS (survey, lambda.min path)",314,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.178773059966551,0.032695866923091,0.000938095497449804
"SGL-WQS (survey, lambda.min path)",314,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.06516484801346,0.0267330517067787,0.0449159394016303
"gWQS",500,"pwqs","Overall mixture","Positive",0.235406516676795,0.0842787623899446,0.00534072787393301
"gWQS",500,"nwqs","Overall mixture","Negative",-0.219702736223064,0.0762893679952839,0.00408214350259274
"groupWQS",500,"GWQS1","Aromatic hydrocarbons","Combined",-0.0307624772437373,0.046259477610248,0.506238515029624
"groupWQS",500,"GWQS2","Dienes/alkenes/epoxides","Combined",-0.124344829961873,0.0530642548045405,0.0193526974588117
"groupWQS",500,"GWQS3","Nitrile/amide/cyanide-related","Combined",0.16360805048419,0.0508299060779766,0.00133819038603798
"groupWQS",500,"GWQS4","Reactive aldehydes","Combined",0.0385548973820059,0.044142151829915,0.382686699330879
"SGL-WQS (unweighted, lambda=0)",500,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637222423744336,0.0289664414565545,0.0279266820155842
"SGL-WQS (unweighted, lambda=0)",500,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0505287198551155,0.0277881372642165,0.0691542341309376
"SGL-WQS (unweighted, lambda=0)",500,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206160106822262,0.0386033384153154,1.02874290379591e-07
"SGL-WQS (unweighted, lambda=0)",500,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.065239425892528,0.0261246118499283,0.0125935493530599
"SGL-WQS (unweighted, lambda=0)",500,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100495925217755,0.0250573059598072,6.2702683168774e-05
"SGL-WQS (unweighted, lambda=0)",500,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152499830773159,0.032974506827608,3.98155317372046e-06
"SGL-WQS (unweighted, lambda=0)",500,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430806801604577,0.0214346920559355,0.0445757933032246
"SGL-WQS (unweighted, lambda=0)",500,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0445682640978355,0.0254779158175302,0.0803890923675073
"SGL-WQS (unweighted, lambda.min path)",500,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0607318752773225,0.0277224418501216,0.0285838269104537
"SGL-WQS (unweighted, lambda.min path)",500,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0495557649366999,0.0277767921128832,0.074558592600155
"SGL-WQS (unweighted, lambda.min path)",500,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.203132440463563,0.038099532817237,1.07944408635425e-07
"SGL-WQS (unweighted, lambda.min path)",500,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0627314268181235,0.0258573959995108,0.0153489594387435
"SGL-WQS (unweighted, lambda.min path)",500,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.0985172696512561,0.0248756183596197,7.73563179518198e-05
"SGL-WQS (unweighted, lambda.min path)",500,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.146272519252189,0.0319183922169586,4.86349137744154e-06
"SGL-WQS (unweighted, lambda.min path)",500,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0425119378877179,0.0214293170097784,0.0474076528083324
"SGL-WQS (unweighted, lambda.min path)",500,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0444322855770455,0.0254535594416536,0.0810250734962801
"SGL-WQS (survey, lambda.min path)",500,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0710474690950158,0.044760237013899,0.156468901576321
"SGL-WQS (survey, lambda.min path)",500,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0708146510856851,0.0336813056438985,0.0735999553312354
"SGL-WQS (survey, lambda.min path)",500,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.170797968833926,0.0432130141308916,0.00551457344316381
"SGL-WQS (survey, lambda.min path)",500,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0751913788042394,0.0286045901159343,0.0339793467765964
"SGL-WQS (survey, lambda.min path)",500,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.11552760595841,0.0331917891096718,0.0102578396073976
"SGL-WQS (survey, lambda.min path)",500,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.178773059966551,0.032695866923091,0.000938095497449804
