n,seed,method,succeeded,error,source,attempted,error_class,backend_jerr,bootstrap_success_rate,all_zero_weights,validation_estimable,rank_deficient,selected_lambda,lambda_index,lambda_at_path_edge,n_nonzero
100,617,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,617,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,617,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,617,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.011945463807995365,1,TRUE,13
100,789,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,789,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,789,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,789,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,0.96,FALSE,TRUE,FALSE,0.014084134744497712,2,FALSE,13
100,888,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,888,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,888,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,888,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.008226887734521647,3,FALSE,13
100,999,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,999,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,999,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,999,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.010710630058206664,2,FALSE,13
100,1001,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1001,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1001,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1001,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0037566987235235815,5,FALSE,13
100,1123,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1123,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1123,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1123,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.006134934782227791,4,FALSE,13
100,1234,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1234,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1234,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1234,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.012926838179080625,1,TRUE,13
100,1357,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1357,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1357,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1357,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.015096458585649028,1,TRUE,13
100,1500,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1500,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1500,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1500,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.008513472025699817,1,TRUE,13
100,1618,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1618,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1618,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1618,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.011664466803353495,1,TRUE,13
100,1729,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1729,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1729,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1729,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.01366145969914312,1,TRUE,13
100,1847,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1847,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1847,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1847,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.00849950173591986,3,FALSE,13
100,1963,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1963,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1963,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1963,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.005837403524458574,3,FALSE,13
100,2048,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2048,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2048,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2048,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.016595625496704198,1,TRUE,13
100,2222,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2222,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2222,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2222,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.016595625496704184,1,TRUE,13
100,2345,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2345,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2345,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2345,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0116191867277701,2,FALSE,13
100,2500,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2500,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2500,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2500,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.016502879580082088,1,TRUE,13
100,2718,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2718,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2718,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2718,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.01036248277692569,1,TRUE,13
100,2801,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2801,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2801,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2801,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.011192152871155091,1,TRUE,13
100,3001,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3001,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3001,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3001,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.017105830353240183,1,TRUE,13
100,3141,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3141,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3141,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3141,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.019772132326893933,1,TRUE,13
100,3333,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3333,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3333,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3333,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.012956221759758914,1,TRUE,13
100,3500,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3500,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3500,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3500,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.018163617841095592,1,TRUE,13
100,3777,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3777,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3777,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3777,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.009614643287862327,1,TRUE,13
200,71,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,71,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,71,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,71,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.009334039078938572,1,TRUE,13
200,42,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,42,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,42,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,42,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.004293506398209948,2,FALSE,13
200,123,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,123,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,123,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,123,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0029160935952934133,3,FALSE,13
200,256,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,256,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,256,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,256,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.005925943171612587,1,TRUE,13
200,314,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,314,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,314,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,314,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.007973411239892408,1,TRUE,13
200,500,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,500,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,500,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,500,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.00203084416710931,5,FALSE,13
200,617,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,617,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,617,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,617,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0030661271013532622,4,FALSE,13
200,789,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,789,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,789,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,789,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.008885353629232167,1,TRUE,13
200,888,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,888,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,888,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,888,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.004498170124454765,2,FALSE,13
200,999,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,999,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,999,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,999,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.009276026174553541,1,TRUE,13
200,1001,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1001,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1001,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1001,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.00867732757985883,1,TRUE,13
200,1123,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1123,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1123,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1123,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.005293162061063821,1,TRUE,13
200,1234,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1234,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1234,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1234,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0038466898577488528,4,FALSE,13
200,1357,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1357,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1357,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1357,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0038088942327485172,3,FALSE,13
200,1500,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1500,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1500,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1500,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.006516818659897326,1,TRUE,13
200,1618,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1618,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1618,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1618,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.001244885342846006,6,FALSE,13
200,1729,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1729,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1729,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1729,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.005496189133232665,2,FALSE,13
200,1847,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1847,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1847,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1847,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.00215021121837077,4,FALSE,13
200,1963,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
